Number_of_Subscribers,Channel2,Watch_date,Day_name,Month_name,Gender,Race,Province,Time_Bucket,Age_buckets,total_duration_hhmm
1,Supersport Live Events,2016-03-04,Fri,March,male,white,Free State,Night,Young Adult 19-30,00:01
1,Trace TV,2016-02-01,Mon,February,male,black,North West,Night,Young Adult 19-30,00:04
3,ICC Cricket World Cup 2011,2016-03-19,Sat,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:02
1,Boomerang,2016-01-28,Thu,January,male,white,Eastern Cape,Night,Young Adult 19-30,00:00
1,SawSee,2016-01-11,Mon,January,male,white,Kwazulu Natal,Night,Young Adult 19-30,00:02
1,Boomerang,2016-02-14,Sun,February,male,black,Mpumalanga,Night,Adult 31-64,00:37
1,Supersport Live Events,2016-02-26,Fri,February,male,coloured,Kwazulu Natal,Night,Adult 31-64,00:03
2,CNN,2016-02-15,Mon,February,male,black,Gauteng,Night,Adult 31-64,00:13
1,ICC Cricket World Cup 2011,2016-03-01,Tue,March,male,black,Kwazulu Natal,Night,Adult 31-64,00:01
1,Supersport Live Events,2016-03-24,Thu,March,male,white,Limpopo,Night,Adult 31-64,00:00
1,Channel O,2016-01-11,Mon,January,male,coloured,Western Cape,Night,Young Adult 19-30,00:14
1,Trace TV,2016-02-08,Mon,February,male,None,Kwazulu Natal,Night,Young Adult 19-30,00:05
2,Trace TV,2016-02-06,Sat,February,male,black,Mpumalanga,Night,Young Adult 19-30,00:59
1,Channel O,2016-02-15,Mon,February,male,black,Gauteng,Night,Young Adult 19-30,00:11
1,Trace TV,2016-03-12,Sat,March,male,coloured,Western Cape,Night,Young Adult 19-30,00:01
1,E! Entertainment,2016-03-05,Sat,March,female,black,Gauteng,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-02-11,Thu,February,male,white,Western Cape,Night,Adult 31-64,00:06
1,Supersport Live Events,2016-03-27,Sun,March,female,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:04
2,Boomerang,2016-02-07,Sun,February,male,white,Gauteng,Night,Young Adult 19-30,00:01
3,ICC Cricket World Cup 2011,2016-03-25,Fri,March,male,white,Kwazulu Natal,Night,Adult 31-64,00:26
1,Africa Magic,2016-02-21,Sun,February,male,black,Eastern Cape,Night,Young Adult 19-30,00:00
2,Supersport Live Events,2016-02-27,Sat,February,male,None,Western Cape,Night,Adult 31-64,00:00
2,Trace TV,2016-03-28,Mon,March,male,black,Mpumalanga,Night,Young Adult 19-30,00:21
2,Supersport Live Events,2016-01-26,Tue,January,male,coloured,Western Cape,Night,Young Adult 19-30,00:54
1,ICC Cricket World Cup 2011,2016-03-02,Wed,March,male,indian_asian,Limpopo,Night,Child 1-12,00:02
1,SawSee,2016-01-11,Mon,January,male,black,Gauteng,Night,Adult 31-64,00:10
1,Cartoon Network,2016-03-21,Mon,March,male,None,Western Cape,Night,Child 1-12,00:00
2,Africa Magic,2016-01-03,Sun,January,male,black,Limpopo,Night,Young Adult 19-30,00:02
1,Supersport Live Events,2016-02-21,Sun,February,female,None,Gauteng,Night,Young Adult 19-30,00:01
1,Trace TV,2016-01-07,Thu,January,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:03
1,Supersport Live Events,2016-02-19,Fri,February,male,other,Western Cape,Night,Adult 31-64,00:00
1,Cartoon Network,2016-02-01,Mon,February,male,black,Limpopo,Night,Youth 13-18,00:00
1,E! Entertainment,2016-02-22,Mon,February,female,black,Mpumalanga,Night,Young Adult 19-30,00:02
1,Boomerang,2016-01-30,Sat,January,female,black,Gauteng,Night,Adult 31-64,00:00
1,Africa Magic,2016-01-19,Tue,January,female,coloured,Western Cape,Night,Adult 31-64,00:53
1,Cartoon Network,2016-03-22,Tue,March,male,white,Limpopo,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-03-19,Sat,March,male,white,Kwazulu Natal,Night,Youth 13-18,00:00
1,SuperSport Blitz,2016-03-23,Wed,March,male,None,Kwazulu Natal,Night,Adult 31-64,00:02
1,Supersport Live Events,2016-03-19,Sat,March,male,coloured,Western Cape,Night,Adult 31-64,00:54
1,Cartoon Network,2016-03-04,Fri,March,male,coloured,Northern Cape,Night,Adult 31-64,00:00
1,Trace TV,2016-01-03,Sun,January,female,black,Gauteng,Night,Young Adult 19-30,00:05
1,Trace TV,2016-02-07,Sun,February,male,coloured,Gauteng,Night,Young Adult 19-30,00:06
1,Supersport Live Events,2016-02-27,Sat,February,male,white,Mpumalanga,Night,Young Adult 19-30,00:00
1,Africa Magic,2016-03-05,Sat,March,male,coloured,Northern Cape,Night,Young Adult 19-30,00:22
1,Supersport Live Events,2016-01-08,Fri,January,male,black,Eastern Cape,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-02-14,Sun,February,male,black,North West,Night,Young Adult 19-30,00:01
1,Supersport Live Events,2016-03-03,Thu,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:11
1,Supersport Live Events,2016-01-16,Sat,January,male,indian_asian,Mpumalanga,Night,Adult 31-64,00:06
1,Channel O,2016-03-06,Sun,March,male,black,Mpumalanga,Night,Adult 31-64,00:00
2,CNN,2016-02-04,Thu,February,male,black,Gauteng,Night,Adult 31-64,00:31
1,Channel O,2016-02-26,Fri,February,male,black,Northern Cape,Night,Young Adult 19-30,00:00
4,Break in transmission,2016-02-10,Wed,February,male,black,Gauteng,Night,Adult 31-64,00:01
1,Channel O,2016-03-23,Wed,March,female,None,Gauteng,Night,Youth 13-18,00:00
1,Trace TV,2016-02-14,Sun,February,male,white,Gauteng,Night,Youth 13-18,00:03
1,Supersport Live Events,2016-02-12,Fri,February,male,coloured,Kwazulu Natal,Night,Young Adult 19-30,00:13
1,Cartoon Network,2016-03-09,Wed,March,female,None,Gauteng,Night,Young Adult 19-30,00:00
1,Cartoon Network,2016-03-10,Thu,March,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:10
1,Supersport Live Events,2016-03-14,Mon,March,male,white,Limpopo,Night,Young Adult 19-30,00:00
2,Trace TV,2016-03-18,Fri,March,male,black,Gauteng,Night,Adult 31-64,01:19
4,Supersport Live Events,2016-01-08,Fri,January,male,black,Gauteng,Night,Adult 31-64,00:07
2,CNN,2016-01-18,Mon,January,male,black,Gauteng,Night,Adult 31-64,00:23
2,Trace TV,2016-01-06,Wed,January,male,black,Gauteng,Night,Young Adult 19-30,00:39
1,Trace TV,2016-03-03,Thu,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:03
1,Cartoon Network,2016-03-03,Thu,March,male,black,North West,Night,Young Adult 19-30,00:01
1,SuperSport Blitz,2016-01-31,Sun,January,male,coloured,Western Cape,Night,Adult 31-64,00:22
1,E! Entertainment,2016-02-14,Sun,February,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,M-Net,2016-03-08,Tue,March,male,None,Western Cape,Night,Adult 31-64,00:00
1,Trace TV,2016-01-11,Mon,January,male,black,Free State,Night,Adult 31-64,02:59
1,Channel O,2016-02-12,Fri,February,male,black,Gauteng,Night,Young Adult 19-30,00:01
