Number_of_Subscribers,Channel2,Watch_date,Day_name,Month_name,Gender,Race,Province,Time_Bucket,Age_buckets,total_duration_hhmm
1,Trace TV,2016-03-28,Mon,March,male,coloured,Western Cape,Night,Adult 31-64,00:08
1,SuperSport Blitz,2016-03-05,Sat,March,male,white,Gauteng,Night,Young Adult 19-30,00:01
1,Supersport Live Events,2016-02-06,Sat,February,male,black,Mpumalanga,Night,Adult 31-64,00:00
1,Boomerang,2016-03-05,Sat,March,male,black,Gauteng,Night,Adult 31-64,00:32
1,CNN,2016-02-23,Tue,February,male,black,Limpopo,Night,Young Adult 19-30,00:00
1,ICC Cricket World Cup 2011,2016-02-24,Wed,February,male,black,Mpumalanga,Night,Adult 31-64,00:04
2,Supersport Live Events,2016-01-21,Thu,January,male,coloured,Western Cape,Night,Adult 31-64,00:17
1,Africa Magic,2016-03-28,Mon,March,None,None,None,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-01-18,Mon,January,female,coloured,Mpumalanga,Night,Child 1-12,00:33
1,kykNET,2016-03-29,Tue,March,male,black,Kwazulu Natal,Night,Adult 31-64,00:03
1,Supersport Live Events,2016-02-27,Sat,February,male,coloured,Eastern Cape,Night,Young Adult 19-30,00:00
1,ICC Cricket World Cup 2011,2016-03-11,Fri,March,male,indian_asian,North West,Night,Youth 13-18,00:00
1,SuperSport Blitz,2016-02-13,Sat,February,male,indian_asian,Western Cape,Night,Adult 31-64,00:11
1,E! Entertainment,2016-01-07,Thu,January,None,None,None,Night,Infant,00:00
1,Channel O,2016-03-14,Mon,March,male,black,Free State,Night,Young Adult 19-30,00:37
1,Supersport Live Events,2016-02-26,Fri,February,female,white,Gauteng,Night,Adult 31-64,00:00
1,Boomerang,2016-02-21,Sun,February,male,black,Western Cape,Night,Young Adult 19-30,00:44
1,SuperSport Blitz,2016-03-25,Fri,March,male,None,Gauteng,Night,Adult 31-64,00:01
1,SuperSport Blitz,2016-02-11,Thu,February,male,black,Gauteng,Night,Adult 31-64,00:05
1,Boomerang,2016-03-19,Sat,March,male,white,Free State,Night,Adult 31-64,00:19
2,Supersport Live Events,2016-02-09,Tue,February,male,black,Gauteng,Night,Adult 31-64,00:03
1,Trace TV,2016-03-31,Thu,March,male,None,Gauteng,Night,Adult 31-64,00:08
1,Cartoon Network,2016-02-02,Tue,February,male,coloured,Gauteng,Night,Young Adult 19-30,00:00
1,ICC Cricket World Cup 2011,2016-03-30,Wed,March,male,None,Eastern Cape,Night,Adult 31-64,00:02
1,Channel O,2016-01-05,Tue,January,male,black,Limpopo,Night,Young Adult 19-30,00:08
3,Supersport Live Events,2016-01-30,Sat,January,male,coloured,Western Cape,Night,Adult 31-64,01:26
1,Boomerang,2016-03-26,Sat,March,male,black,Gauteng,Night,Youth 13-18,00:11
1,Trace TV,2016-01-15,Fri,January,female,black,Gauteng,Night,Young Adult 19-30,00:09
1,SawSee,2016-02-27,Sat,February,male,white,Gauteng,Night,Young Adult 19-30,00:00
1,SuperSport Blitz,2016-01-20,Wed,January,None,None,None,Night,Infant,00:00
1,Vuzu,2016-01-16,Sat,January,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-03-08,Tue,March,male,white,Mpumalanga,Night,Young Adult 19-30,00:05
3,Supersport Live Events,2016-01-18,Mon,January,male,None,Western Cape,Night,Adult 31-64,00:42
1,CNN,2016-01-21,Thu,January,male,black,Limpopo,Night,Adult 31-64,00:05
1,SuperSport Blitz,2016-01-09,Sat,January,male,black,Eastern Cape,Night,Young Adult 19-30,00:13
1,CNN,2016-03-29,Tue,March,male,indian_asian,Kwazulu Natal,Night,Young Adult 19-30,00:01
1,ICC Cricket World Cup 2011,2016-03-30,Wed,March,male,white,Mpumalanga,Night,Youth 13-18,00:00
1,Channel O,2016-03-20,Sun,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:02
1,Channel O,2016-03-18,Fri,March,male,black,Northern Cape,Night,Young Adult 19-30,00:17
1,Channel O,2016-01-30,Sat,January,male,black,Limpopo,Night,Adult 31-64,00:00
1,CNN,2016-01-20,Wed,January,male,black,Western Cape,Night,Adult 31-64,00:19
1,CNN,2016-02-07,Sun,February,female,coloured,Western Cape,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-03-23,Wed,March,male,None,Gauteng,Night,Child 1-12,00:00
1,E! Entertainment,2016-02-10,Wed,February,male,white,Gauteng,Night,Adult 31-64,00:00
1,Cartoon Network,2016-01-03,Sun,January,male,coloured,Western Cape,Night,Young Adult 19-30,00:29
1,ICC Cricket World Cup 2011,2016-02-28,Sun,February,male,white,Gauteng,Night,Adult 31-64,00:03
1,Cartoon Network,2016-03-19,Sat,March,male,other,Western Cape,Night,Adult 31-64,00:00
1,Africa Magic,2016-03-01,Tue,March,male,white,Gauteng,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-02-26,Fri,February,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,Boomerang,2016-03-26,Sat,March,male,white,Gauteng,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-02-25,Thu,February,male,None,Kwazulu Natal,Night,Adult 31-64,00:01
1,SawSee,2016-01-28,Thu,January,male,black,Kwazulu Natal,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-03-25,Fri,March,male,black,Western Cape,Night,Adult 31-64,00:06
1,Cartoon Network,2016-01-21,Thu,January,male,black,Mpumalanga,Night,Adult 31-64,00:02
1,Boomerang,2016-01-02,Sat,January,male,white,Kwazulu Natal,Night,Young Adult 19-30,00:01
1,Africa Magic,2016-03-07,Mon,March,female,black,Mpumalanga,Night,Adult 31-64,00:02
1,Vuzu,2016-02-19,Fri,February,female,indian_asian,Kwazulu Natal,Night,Youth 13-18,00:00
1,Channel O,2016-01-06,Wed,January,male,black,Gauteng,Night,Adult 31-64,00:09
1,Africa Magic,2016-01-21,Thu,January,male,black,Western Cape,Night,Adult 31-64,00:01
1,ICC Cricket World Cup 2011,2016-03-13,Sun,March,male,indian_asian,Free State,Night,Young Adult 19-30,00:41
1,Trace TV,2016-03-11,Fri,March,male,black,Eastern Cape,Night,Adult 31-64,00:08
1,ICC Cricket World Cup 2011,2016-03-15,Tue,March,male,white,Mpumalanga,Night,Young Adult 19-30,00:02
1,Africa Magic,2016-02-10,Wed,February,female,black,Gauteng,Night,Adult 31-64,00:32
1,SawSee,2016-03-04,Fri,March,male,white,Western Cape,Night,Adult 31-64,00:00
1,Boomerang,2016-02-21,Sun,February,male,other,Eastern Cape,Night,Youth 13-18,00:00
2,ICC Cricket World Cup 2011,2016-02-24,Wed,February,male,coloured,Eastern Cape,Night,Adult 31-64,00:06
2,Cartoon Network,2016-03-01,Tue,March,male,coloured,Western Cape,Night,Young Adult 19-30,00:02
1,SuperSport Blitz,2016-03-11,Fri,March,male,coloured,Kwazulu Natal,Night,Adult 31-64,00:01
1,SuperSport Blitz,2016-03-17,Thu,March,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:16
1,Supersport Live Events,2016-03-25,Fri,March,male,coloured,Free State,Night,Adult 31-64,00:02
1,Boomerang,2016-02-24,Wed,February,male,white,Gauteng,Night,Adult 31-64,00:01
1,Cartoon Network,2016-01-13,Wed,January,male,None,Western Cape,Night,Young Adult 19-30,00:00
1,MK,2016-01-26,Tue,January,male,white,Free State,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-02-02,Tue,February,male,black,Kwazulu Natal,Night,Adult 31-64,00:03
1,Break in transmission,2016-03-01,Tue,March,male,None,Western Cape,Night,Adult 31-64,00:00
1,Trace TV,2016-03-30,Wed,March,female,other,Limpopo,Night,Young Adult 19-30,00:11
1,Cartoon Network,2016-02-17,Wed,February,male,black,Kwazulu Natal,Night,Adult 31-64,00:02
1,E! Entertainment,2016-01-02,Sat,January,female,black,Western Cape,Night,Young Adult 19-30,00:00
1,SuperSport Blitz,2016-02-12,Fri,February,male,None,North West,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-02-20,Sat,February,male,black,Mpumalanga,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-03-24,Thu,March,male,indian_asian,Western Cape,Night,Young Adult 19-30,00:48
2,SuperSport Blitz,2016-03-23,Wed,March,male,white,Mpumalanga,Night,Adult 31-64,00:23
1,Africa Magic,2016-02-06,Sat,February,male,black,Gauteng,Night,Adult 31-64,00:00
1,SawSee,2016-03-10,Thu,March,None,None,None,Night,Infant,00:05
1,Cartoon Network,2016-01-26,Tue,January,male,white,Gauteng,Night,Young Adult 19-30,00:02
1,Channel O,2016-01-12,Tue,January,male,black,North West,Night,Adult 31-64,00:03
1,E! Entertainment,2016-01-12,Tue,January,male,black,Gauteng,Night,Adult 31-64,00:04
1,Vuzu,2016-01-26,Tue,January,male,None,Mpumalanga,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-03-23,Wed,March,male,None,Gauteng,Night,Adult 31-64,01:30
1,Africa Magic,2016-01-26,Tue,January,female,black,Gauteng,Night,Young Adult 19-30,00:00
1,SawSee,2016-03-01,Tue,March,None,None,None,Night,Infant,00:02
1,Cartoon Network,2016-03-05,Sat,March,None,None,None,Night,Infant,00:02
1,Trace TV,2016-03-28,Mon,March,male,black,Gauteng,Night,Adult 31-64,00:00
1,E! Entertainment,2016-02-13,Sat,February,female,black,Kwazulu Natal,Night,Adult 31-64,00:01
1,CNN,2016-03-13,Sun,March,male,black,North West,Night,Young Adult 19-30,00:00
1,CNN,2016-03-06,Sun,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:01
1,Supersport Live Events,2016-02-05,Fri,February,male,coloured,Western Cape,Night,Adult 31-64,00:05
1,Trace TV,2016-03-25,Fri,March,male,white,Gauteng,Night,Adult 31-64,00:00
2,Supersport Live Events,2016-03-13,Sun,March,male,black,Mpumalanga,Night,Young Adult 19-30,00:01
1,SuperSport Blitz,2016-02-17,Wed,February,male,black,Mpumalanga,Night,Adult 31-64,00:01
1,DStv Events 1,2016-01-02,Sat,January,female,white,North West,Night,Adult 31-64,00:15
1,Supersport Live Events,2016-02-28,Sun,February,male,white,Gauteng,Night,Young Adult 19-30,01:04
1,Africa Magic,2016-01-29,Fri,January,male,black,Kwazulu Natal,Night,Adult 31-64,00:00
1,Boomerang,2016-03-27,Sun,March,male,white,Free State,Night,Young Adult 19-30,00:00
1,CNN,2016-01-14,Thu,January,male,white,Gauteng,Night,Adult 31-64,00:01
1,Supersport Live Events,2016-02-26,Fri,February,male,white,Eastern Cape,Night,Young Adult 19-30,00:00
1,E! Entertainment,2016-03-12,Sat,March,male,black,Mpumalanga,Night,Young Adult 19-30,00:18
1,Trace TV,2016-01-18,Mon,January,male,coloured,Mpumalanga,Night,Young Adult 19-30,00:02
1,Cartoon Network,2016-01-29,Fri,January,male,indian_asian,Gauteng,Night,Youth 13-18,00:10
1,Channel O,2016-03-10,Thu,March,male,black,Western Cape,Night,Young Adult 19-30,00:01
1,Trace TV,2016-02-13,Sat,February,male,other,Western Cape,Night,Adult 31-64,00:01
1,SuperSport Blitz,2016-01-28,Thu,January,male,None,Western Cape,Night,Child 1-12,00:04
2,Africa Magic,2016-02-24,Wed,February,female,black,Gauteng,Night,Adult 31-64,00:02
2,Africa Magic,2016-03-11,Fri,March,male,black,Northern Cape,Night,Adult 31-64,00:11
1,Cartoon Network,2016-01-16,Sat,January,female,coloured,Eastern Cape,Night,Young Adult 19-30,00:05
1,E! Entertainment,2016-01-28,Thu,January,male,white,North West,Night,Young Adult 19-30,00:02
1,SuperSport Blitz,2016-03-25,Fri,March,male,black,Eastern Cape,Night,Young Adult 19-30,00:04
1,Cartoon Network,2016-02-23,Tue,February,female,coloured,Western Cape,Night,Adult 31-64,00:01
1,Channel O,2016-03-30,Wed,March,None,None,None,Night,Infant,00:29
2,Africa Magic,2016-01-15,Fri,January,male,black,Mpumalanga,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-02-23,Tue,February,male,coloured,Kwazulu Natal,Night,Young Adult 19-30,00:02
1,SuperSport Blitz,2016-01-13,Wed,January,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-02-19,Fri,February,male,black,Limpopo,Night,Young Adult 19-30,00:01
1,SawSee,2016-03-24,Thu,March,male,indian_asian,Limpopo,Night,Adult 31-64,00:13
1,Africa Magic,2016-02-21,Sun,February,female,black,Mpumalanga,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-01-04,Mon,January,male,None,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,Channel O,2016-03-09,Wed,March,male,black,Free State,Night,Young Adult 19-30,00:00
1,Boomerang,2016-03-03,Thu,March,male,white,Western Cape,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-02-28,Sun,February,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-02-21,Sun,February,male,white,Mpumalanga,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-02-24,Wed,February,male,indian_asian,Gauteng,Night,Adult 31-64,00:02
1,SuperSport Blitz,2016-03-18,Fri,March,male,black,Eastern Cape,Night,Adult 31-64,00:01
1,Boomerang,2016-02-26,Fri,February,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,Cartoon Network,2016-01-19,Tue,January,male,white,Eastern Cape,Night,Young Adult 19-30,00:16
1,SuperSport Blitz,2016-03-30,Wed,March,male,white,Gauteng,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-02-24,Wed,February,male,white,Kwazulu Natal,Night,Adult 31-64,00:02
1,Channel O,2016-01-18,Mon,January,female,black,Free State,Night,Adult 31-64,00:00
1,Cartoon Network,2016-02-03,Wed,February,male,white,Gauteng,Night,Adult 31-64,00:00
2,Africa Magic,2016-02-20,Sat,February,male,black,Gauteng,Night,Adult 31-64,00:00
1,Cartoon Network,2016-03-11,Fri,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:01
1,Trace TV,2016-02-03,Wed,February,female,black,Kwazulu Natal,Morning 5-11am,Young Adult 19-30,03:03
1,Boomerang,2016-01-22,Fri,January,male,white,Western Cape,Night,Young Adult 19-30,00:06
1,ICC Cricket World Cup 2011,2016-03-06,Sun,March,male,indian_asian,Mpumalanga,Night,Adult 31-64,00:00
1,Africa Magic,2016-01-03,Sun,January,male,black,Northern Cape,Night,Adult 31-64,00:01
2,Africa Magic,2016-03-07,Mon,March,male,black,Gauteng,Night,Adult 31-64,00:16
1,ICC Cricket World Cup 2011,2016-02-24,Wed,February,female,indian_asian,Gauteng,Night,Young Adult 19-30,00:04
1,Supersport Live Events,2016-02-27,Sat,February,None,None,None,Night,Infant,00:00
1,Cartoon Network,2016-02-12,Fri,February,male,black,North West,Night,Adult 31-64,00:01
1,Cartoon Network,2016-01-14,Thu,January,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,Channel O,2016-02-17,Wed,February,male,black,Western Cape,Night,Adult 31-64,00:18
1,Supersport Live Events,2016-03-27,Sun,March,male,black,Gauteng,Night,Young Adult 19-30,00:11
1,ICC Cricket World Cup 2011,2016-03-07,Mon,March,male,indian_asian,Free State,Night,Young Adult 19-30,00:50
1,E! Entertainment,2016-02-21,Sun,February,male,black,Kwazulu Natal,Night,Adult 31-64,00:01
1,Trace TV,2016-03-03,Thu,March,female,None,Gauteng,Night,Adult 31-64,00:00
1,Channel O,2016-01-17,Sun,January,male,white,Mpumalanga,Night,Young Adult 19-30,00:00
1,Trace TV,2016-02-23,Tue,February,male,None,Western Cape,Morning 5-11am,Adult 31-64,03:44
1,Cartoon Network,2016-01-30,Sat,January,male,black,North West,Night,Adult 31-64,00:02
1,E! Entertainment,2016-02-26,Fri,February,male,indian_asian,Limpopo,Night,Adult 31-64,00:25
1,Supersport Live Events,2016-03-23,Wed,March,male,white,Gauteng,Night,Adult 31-64,00:02
1,Supersport Live Events,2016-02-07,Sun,February,male,black,Gauteng,Night,Adult 31-64,00:00
1,CNN,2016-01-22,Fri,January,male,indian_asian,Gauteng,Night,Adult 31-64,00:00
1,MK,2016-01-20,Wed,January,None,None,None,Night,Infant,00:06
1,Cartoon Network,2016-01-03,Sun,January,female,None,Gauteng,Night,Adult 31-64,00:04
1,Trace TV,2016-01-04,Mon,January,male,black,North West,Night,Adult 31-64,00:05
1,SuperSport Blitz,2016-03-02,Wed,March,male,black,Limpopo,Night,Young Adult 19-30,00:42
1,Supersport Live Events,2016-03-28,Mon,March,female,black,Gauteng,Night,Adult 31-64,00:00
1,Boomerang,2016-03-31,Thu,March,male,black,Eastern Cape,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-02-19,Fri,February,male,coloured,Western Cape,Night,Young Adult 19-30,00:03
1,Supersport Live Events,2016-01-24,Sun,January,male,black,Mpumalanga,Night,Adult 31-64,00:02
1,Cartoon Network,2016-01-02,Sat,January,female,indian_asian,Kwazulu Natal,Night,Youth 13-18,00:01
1,Africa Magic,2016-01-24,Sun,January,male,None,North West,Night,Adult 31-64,00:00
1,Vuzu,2016-01-10,Sun,January,male,black,Eastern Cape,Night,Young Adult 19-30,00:00
1,Boomerang,2016-03-29,Tue,March,male,indian_asian,Mpumalanga,Night,Adult 31-64,00:05
1,Channel O,2016-03-07,Mon,March,male,coloured,Northern Cape,Night,Young Adult 19-30,00:10
1,SuperSport Blitz,2016-02-16,Tue,February,male,black,Eastern Cape,Night,Adult 31-64,00:09
1,CNN,2016-01-23,Sat,January,male,coloured,Western Cape,Night,Adult 31-64,00:02
1,Trace TV,2016-01-24,Sun,January,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:01
1,Channel O,2016-03-07,Mon,March,male,black,Gauteng,Night,Adult 31-64,00:47
1,Africa Magic,2016-01-20,Wed,January,female,black,Gauteng,Night,Young Adult 19-30,00:10
1,Africa Magic,2016-03-30,Wed,March,female,black,Northern Cape,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-02-12,Fri,February,male,black,Western Cape,Night,Adult 31-64,00:17
1,Channel O,2016-03-02,Wed,March,male,black,Mpumalanga,Night,Young Adult 19-30,00:08
1,Supersport Live Events,2016-03-24,Thu,March,male,coloured,Gauteng,Night,Young Adult 19-30,00:12
1,Channel O,2016-03-09,Wed,March,male,black,Kwazulu Natal,Night,Adult 31-64,00:35
2,Africa Magic,2016-03-10,Thu,March,male,black,Kwazulu Natal,Night,Adult 31-64,00:14
1,Channel O,2016-03-25,Fri,March,male,black,Eastern Cape,Night,Adult 31-64,00:00
1,Cartoon Network,2016-03-03,Thu,March,male,coloured,Kwazulu Natal,Night,Adult 31-64,00:14
1,CNN,2016-01-25,Mon,January,male,white,Eastern Cape,Night,Adult 31-64,00:12
1,Channel O,2016-03-09,Wed,March,male,black,Western Cape,Night,Youth 13-18,00:14
1,CNN,2016-03-15,Tue,March,male,None,Mpumalanga,Night,Adult 31-64,00:00
1,Trace TV,2016-03-19,Sat,March,female,black,Kwazulu Natal,Night,Young Adult 19-30,00:01
1,Trace TV,2016-01-14,Thu,January,male,white,Gauteng,Night,Young Adult 19-30,00:00
1,CNN,2016-03-29,Tue,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:00
1,Trace TV,2016-01-10,Sun,January,male,white,Gauteng,Night,Young Adult 19-30,00:18
1,Africa Magic,2016-01-25,Mon,January,male,black,North West,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-03-04,Fri,March,male,black,Limpopo,Night,Adult 31-64,00:04
1,Cartoon Network,2016-03-05,Sat,March,male,white,Free State,Night,Young Adult 19-30,00:01
1,E! Entertainment,2016-03-11,Fri,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:01
1,Boomerang,2016-01-27,Wed,January,male,black,Gauteng,Night,Young Adult 19-30,00:02
1,Cartoon Network,2016-03-31,Thu,March,male,indian_asian,Limpopo,Night,Adult 31-64,00:00
1,SawSee,2016-03-29,Tue,March,male,black,Gauteng,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-02-20,Sat,February,male,black,North West,Night,Young Adult 19-30,00:10
1,Trace TV,2016-01-24,Sun,January,female,black,Mpumalanga,Night,Young Adult 19-30,00:04
1,Cartoon Network,2016-02-03,Wed,February,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,Boomerang,2016-03-12,Sat,March,male,white,Western Cape,Night,Young Adult 19-30,00:00
1,Africa Magic,2016-02-20,Sat,February,male,coloured,Free State,Night,Young Adult 19-30,00:00
1,Trace TV,2016-03-24,Thu,March,male,black,Western Cape,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-03-06,Sun,March,male,black,Mpumalanga,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-03-19,Sat,March,male,None,Western Cape,Night,Adult 31-64,00:49
1,Trace TV,2016-03-02,Wed,March,male,black,North West,Night,Adult 31-64,00:01
1,ICC Cricket World Cup 2011,2016-03-03,Thu,March,male,None,Eastern Cape,Night,Adult 31-64,00:00
1,Trace TV,2016-03-10,Thu,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:01
1,Trace TV,2016-03-06,Sun,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:04
1,SuperSport Blitz,2016-02-25,Thu,February,male,coloured,Northern Cape,Night,Youth 13-18,00:05
1,Trace TV,2016-01-22,Fri,January,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:35
1,Break in transmission,2016-02-15,Mon,February,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,Cartoon Network,2016-01-24,Sun,January,male,None,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-01-16,Sat,January,male,black,Limpopo,Night,Young Adult 19-30,00:03
1,Cartoon Network,2016-03-07,Mon,March,male,coloured,Western Cape,Night,Adult 31-64,00:51
1,CNN,2016-01-12,Tue,January,male,None,Mpumalanga,Night,Adult 31-64,00:07
1,Channel O,2016-02-24,Wed,February,male,black,Free State,Night,Young Adult 19-30,00:04
1,E! Entertainment,2016-02-27,Sat,February,male,black,Gauteng,Night,Adult 31-64,00:03
1,SuperSport Blitz,2016-02-05,Fri,February,male,black,Western Cape,Night,Young Adult 19-30,00:00
1,SuperSport Blitz,2016-01-12,Tue,January,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-03-05,Sat,March,male,white,North West,Night,Young Adult 19-30,00:04
1,Africa Magic,2016-02-19,Fri,February,male,coloured,Eastern Cape,Night,Young Adult 19-30,00:00
1,kykNET,2016-03-31,Thu,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:03
1,CNN,2016-01-16,Sat,January,male,black,Western Cape,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-01-15,Fri,January,male,None,Western Cape,Night,Adult 31-64,00:01
1,E! Entertainment,2016-02-09,Tue,February,male,white,Free State,Night,Young Adult 19-30,00:10
1,Boomerang,2016-01-09,Sat,January,male,black,Mpumalanga,Night,Adult 31-64,00:05
1,Cartoon Network,2016-03-01,Tue,March,None,None,None,Night,Infant,00:01
1,Cartoon Network,2016-02-18,Thu,February,male,white,Western Cape,Night,Young Adult 19-30,00:09
1,ICC Cricket World Cup 2011,2016-03-02,Wed,March,female,black,Gauteng,Night,Young Adult 19-30,00:04
1,Supersport Live Events,2016-02-19,Fri,February,male,coloured,Gauteng,Night,Adult 31-64,02:40
1,Boomerang,2016-03-24,Thu,March,male,None,Western Cape,Night,Adult 31-64,00:00
1,Channel O,2016-02-10,Wed,February,female,coloured,Western Cape,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-03-12,Sat,March,male,black,Mpumalanga,Night,Young Adult 19-30,00:01
7,Supersport Live Events,2016-03-24,Thu,March,male,white,Gauteng,Night,Young Adult 19-30,00:26
3,Boomerang,2016-01-12,Tue,January,male,black,Gauteng,Night,Adult 31-64,00:10
1,Africa Magic,2016-03-21,Mon,March,male,black,Gauteng,Night,Adult 31-64,00:04
2,Supersport Live Events,2016-02-19,Fri,February,male,black,Limpopo,Night,Adult 31-64,00:04
1,SuperSport Blitz,2016-02-19,Fri,February,male,other,Western Cape,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-02-21,Sun,February,male,white,Kwazulu Natal,Night,Adult 31-64,00:02
1,E! Entertainment,2016-01-04,Mon,January,female,None,Northern Cape,Night,Adult 31-64,00:00
1,Boomerang,2016-01-04,Mon,January,male,black,Mpumalanga,Night,Young Adult 19-30,00:00
1,Trace TV,2016-02-06,Sat,February,male,black,Gauteng,Night,Young Adult 19-30,00:00
1,Vuzu,2016-02-22,Mon,February,male,black,Gauteng,Night,Adult 31-64,00:02
2,Africa Magic,2016-01-15,Fri,January,male,black,Gauteng,Night,Adult 31-64,00:00
1,Trace TV,2016-02-19,Fri,February,male,None,Western Cape,Night,Adult 31-64,00:02
1,SuperSport Blitz,2016-03-23,Wed,March,male,coloured,Gauteng,Night,Adult 31-64,00:17
4,Supersport Live Events,2016-03-20,Sun,March,male,coloured,Western Cape,Night,Adult 31-64,00:01
1,SuperSport Blitz,2016-02-06,Sat,February,male,indian_asian,Limpopo,Night,Young Adult 19-30,00:00
2,Channel O,2016-02-04,Thu,February,male,black,Western Cape,Night,Young Adult 19-30,00:04
1,Boomerang,2016-01-13,Wed,January,male,black,Limpopo,Night,Young Adult 19-30,00:14
1,Africa Magic,2016-03-06,Sun,March,male,black,Western Cape,Night,Adult 31-64,00:06
1,Supersport Live Events,2016-01-29,Fri,January,male,white,Gauteng,Night,Young Adult 19-30,00:04
2,SuperSport Blitz,2016-03-13,Sun,March,male,indian_asian,Limpopo,Night,Adult 31-64,00:01
1,SuperSport Blitz,2016-03-28,Mon,March,male,indian_asian,Limpopo,Night,Young Adult 19-30,00:00
1,Channel O,2016-02-12,Fri,February,male,black,Eastern Cape,Night,Adult 31-64,00:06
1,Africa Magic,2016-01-26,Tue,January,male,black,Gauteng,Night,Adult 31-64,00:01
1,ICC Cricket World Cup 2011,2016-03-08,Tue,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:42
2,ICC Cricket World Cup 2011,2016-03-11,Fri,March,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:35
2,ICC Cricket World Cup 2011,2016-02-20,Sat,February,male,indian_asian,Limpopo,Night,Adult 31-64,00:06
1,E! Entertainment,2016-03-20,Sun,March,male,None,Western Cape,Night,Young Adult 19-30,00:01
1,Cartoon Network,2016-03-29,Tue,March,male,black,Gauteng,Night,Young Adult 19-30,00:00
2,Supersport Live Events,2016-01-15,Fri,January,male,black,Mpumalanga,Night,Young Adult 19-30,00:15
5,Supersport Live Events,2016-03-12,Sat,March,male,white,Gauteng,Night,Adult 31-64,00:39
3,Africa Magic,2016-01-16,Sat,January,male,black,Gauteng,Night,Adult 31-64,00:21
1,E! Entertainment,2016-01-02,Sat,January,male,None,Western Cape,Night,Adult 31-64,00:06
1,E! Entertainment,2016-01-22,Fri,January,male,white,Western Cape,Night,Adult 31-64,00:00
1,Trace TV,2016-02-06,Sat,February,male,None,Free State,Night,Adult 31-64,00:07
1,Trace TV,2016-02-01,Mon,February,male,coloured,Western Cape,Night,Young Adult 19-30,00:00
1,Trace TV,2016-03-18,Fri,March,female,coloured,Western Cape,Night,Adult 31-64,00:01
2,Africa Magic,2016-01-28,Thu,January,male,black,Mpumalanga,Night,Adult 31-64,00:17
2,Supersport Live Events,2016-03-26,Sat,March,male,white,Mpumalanga,Night,Adult 31-64,00:04
1,Trace TV,2016-01-10,Sun,January,male,coloured,Western Cape,Night,Young Adult 19-30,00:47
1,Boomerang,2016-01-20,Wed,January,male,None,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,Channel O,2016-03-02,Wed,March,male,black,North West,Night,Young Adult 19-30,00:01
1,Trace TV,2016-02-23,Tue,February,male,black,Gauteng,Night,Adult 31-64,00:05
